"effect","term","estimate","std.error","statistic","df","p.value","best_shape_model","focal_terms","pfas_var","immune_var","n_obs","test_type","FDR_p"
"fixed","DNA_sexM",0.519422034964441,0.516682597618252,1.0053019733175,108.981047210267,0.316978360864258,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"covariate",0.548929545463292
"fixed","DNA_sexU",0.614468570273055,2.56442376756556,0.239612726275883,108.392137552205,0.811083022034495,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"covariate",0.866925146011716
"fixed","age",-0.067877191657322,0.031812257057717,-2.13368047209515,67.481958999618,0.0365071606960417,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"covariate",0.101777538910177
"fixed","PFAS_scaled:DNA_sexM",0.280743148371148,0.539351093901508,0.520520216878275,102.965241105246,0.603818541484916,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:DNA_sexU",1.74044978078438,2.03790917847674,0.854036970423433,107.124073033209,0.394990292251293,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:age",0.0148336454001392,0.0409163628003849,0.362535777495835,79.0856042870328,0.717918742452135,"linear","PFAS_scaled","PFUNDA","log_clysis",110,"interaction",0.996458388374059
"fixed","(Intercept)",1.78736432966939,1.63372752131934,1.09404065631825,70.1744157737495,0.277678318147848,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"covariate",0.521355209583714
"fixed","PFAS_scaled",-3.25727671875026,4.85002543692915,-0.6715999248063,95.920423533556,0.503452707471027,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"main_effect",0.963394758214043
"fixed","PFAS_sq_scaled",3.85961161412803,4.913558030164,0.785502397739915,101.521985699127,0.433988458713851,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"main_effect",0.963394758214043
"fixed","DNA_sexM",0.799162652644713,0.545688648338581,1.46450298183381,107.263551824958,0.145981355708423,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"covariate",0.378317879582391
"fixed","DNA_sexU",0.612919557182569,2.85450821156823,0.214719843754045,104.055289188852,0.830405998558858,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"covariate",0.868151725766079
"fixed","age",-0.103990007671226,0.0342513281050646,-3.03608687383569,67.1038556832777,0.00341019315061134,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"covariate",0.0120668373021632
"fixed","PFAS_scaled:DNA_sexM",0.0313499207852697,2.09185158039595,0.0149866850397368,93.095598908936,0.988074874088572,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"interaction",0.996458388374059
"fixed","PFAS_scaled:DNA_sexU",1.85512389044838,5.26881980924801,0.35209476839428,106.298813954467,0.725464262454473,"quadratic","PFAS_scaled + PFAS_sq_scaled","TOTAL_PFAS","log_clysis",110,"interaction",0.996458388374059
